column_index_1based,excel_column,nutrient_key,source_header,label,unit,category,infoods_tag,origcpcd,const_nom_fr
72,BT,vitamin_k2_ug,Vitamine K2 (µg 100 g),Vitamine K2,µg,vitamin,VITK2,54104,Vitamine K2 (µg/100 g)
73,BU,vitamin_c_mg,Vitamine C (mg 100 g),Vitamine C,mg,vitamin,VITC,55100,Vitamine C (mg/100 g)
74,BV,vitamin_b1_thiamine_mg,Vitamine B1 ou Thiamine (mg 100 g),Vitamine B1 ou Thiamine,mg,vitamin,THIA,56100,Vitamine B1 ou Thiamine (mg/100 g)
75,BW,vitamin_b2_riboflavin_mg,Vitamine B2 ou Riboflavine (mg 100 g),Vitamine B2 ou Riboflavine,mg,vitamin,RIBF,56200,Vitamine B2 ou Riboflavine (mg/100 g)
76,BX,vitamin_b3_niacin_mg,Vitamine B3 ou PP ou Niacine (mg 100 g),Vitamine B3 ou PP ou Niacine,mg,vitamin,NIA,56310,Vitamine B3 ou PP ou Niacine (mg/100 g)
77,BY,vitamin_b5_pantothenic_acid_mg,Vitamine B5 ou Acide pantothénique (mg 100 g),Vitamine B5 ou Acide pantothénique,mg,vitamin,PANTAC,56400,Vitamine B5 ou Acide pantothénique (mg/100 g)
78,BZ,vitamin_b6_mg,Vitamine B6 (mg 100 g),Vitamine B6,mg,vitamin,VITB6-,56500,Vitamine B6 (mg/100 g)
79,CA,vitamin_b9_folate_dfe_ug,"Vitamine B9 ou Folates totaux, équivalents folates alimentaires, DFE (µg 100 g)","Vitamine B9 ou Folates totaux, équivalents folates alimentaires, DFE",µg,vitamin,FOLDFE,56702,"Vitamine B9 ou Folates totaux, équivalents folates alimentaires, DFE (µg/100 g)"
80,CB,vitamin_b9_total_folates_ug,Vitamine B9 ou Folates totaux (µg 100 g),Vitamine B9 ou Folates totaux,µg,vitamin,FOL,56700,Vitamine B9 ou Folates totaux (µg/100 g)
81,CC,intrinsic_folates_ug,Folates intrinsèques (µg 100 g),Folates intrinsèques,µg,vitamin,FOLFD,56704,Folates intrinsèques (µg/100 g)
82,CD,folic_acid_enrichment_ug,Acide folique (enrichissement) (µg 100 g),Acide folique (enrichissement),µg,vitamin,FOLAC,56708,Acide folique (enrichissement) (µg/100 g)
83,CE,vitamin_b12_ug,Vitamine B12 (µg 100 g),Vitamine B12,µg,vitamin,VITB12,56600,Vitamine B12 (µg/100 g)
84,CF,jones_factor,Facteur de Jones,Facteur de Jones,,coefficient,,,
